"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","346","test_login_invalid","tests","Thu Jan 15 13:45:28 UTC 2026","passed","Thu Jan 15 13:45:29 UTC 2026","","tests_ui","",""
"","490","test_add_item_to_cart","tests","Thu Jan 15 13:45:29 UTC 2026","passed","Thu Jan 15 13:45:30 UTC 2026","","tests_ui","",""
"","635","test_check_total_sum","tests","Thu Jan 15 13:45:34 UTC 2026","passed","Thu Jan 15 13:45:35 UTC 2026","","tests_ui","",""
"","680","test_checkout_complete_flow","tests","Thu Jan 15 13:45:32 UTC 2026","passed","Thu Jan 15 13:45:33 UTC 2026","","tests_ui","",""
"","534","test_remove_item_from_cart","tests","Thu Jan 15 13:45:30 UTC 2026","passed","Thu Jan 15 13:45:31 UTC 2026","","tests_ui","",""
"","546","test_clear_cart","tests","Thu Jan 15 13:45:35 UTC 2026","passed","Thu Jan 15 13:45:36 UTC 2026","","tests_ui","",""
"","424","test_cart_counter_increment","tests","Thu Jan 15 13:45:37 UTC 2026","passed","Thu Jan 15 13:45:37 UTC 2026","","tests_ui","",""
"","1371","test_logout_burger_menu","tests","Thu Jan 15 13:45:38 UTC 2026","passed","Thu Jan 15 13:45:39 UTC 2026","","tests_ui","",""
"","422","test_sort_products_by_price_low_to_high","tests","Thu Jan 15 13:45:36 UTC 2026","passed","Thu Jan 15 13:45:36 UTC 2026","","tests_ui","",""
"","612","test_checkout_without_first_name","tests","Thu Jan 15 13:45:33 UTC 2026","passed","Thu Jan 15 13:45:34 UTC 2026","","tests_ui","",""
"","328","test_locked_out_user","tests","Thu Jan 15 13:45:28 UTC 2026","passed","Thu Jan 15 13:45:28 UTC 2026","","tests_ui","",""
"","552","test_login","tests","Thu Jan 15 13:45:27 UTC 2026","passed","Thu Jan 15 13:45:27 UTC 2026","","tests_ui","",""
"","509","test_cart_total_price_for_single_item","tests","Thu Jan 15 13:45:31 UTC 2026","passed","Thu Jan 15 13:45:32 UTC 2026","","tests_ui","",""
